name,schema,description
g_lvr_land_c_park.csv,schema-park.csv,宜蘭縣停車場不動產租賃
h_lvr_land_a.csv,schema-main.csv,桃園市不動產買賣
h_lvr_land_a_build.csv,schema-build.csv,桃園市建物不動產買賣
h_lvr_land_a_land.csv,schema-land.csv,桃園市土地不動產買賣
h_lvr_land_a_park.csv,schema-park.csv,桃園市停車場不動產買賣
h_lvr_land_b.csv,schema-main.csv,桃園市預售屋買賣
h_lvr_land_b_land.csv,schema-land.csv,桃園市土地預售屋買賣
h_lvr_land_b_park.csv,schema-park.csv,桃園市停車場預售屋買賣
h_lvr_land_c.csv,schema-main-rent.csv,桃園市不動產租賃
h_lvr_land_c_build.csv,schema-build.csv,桃園市建物不動產租賃
h_lvr_land_c_land.csv,schema-land.csv,桃園市土地不動產租賃
h_lvr_land_c_park.csv,schema-park.csv,桃園市停車場不動產租賃
i_lvr_land_a.csv,schema-main.csv,嘉義市不動產買賣
i_lvr_land_a_build.csv,schema-build.csv,嘉義市建物不動產買賣
i_lvr_land_a_land.csv,schema-land.csv,嘉義市土地不動產買賣
i_lvr_land_a_park.csv,schema-park.csv,嘉義市停車場不動產買賣
i_lvr_land_c.csv,schema-main-rent.csv,嘉義市不動產租賃
i_lvr_land_c_build.csv,schema-build.csv,嘉義市建物不動產租賃
i_lvr_land_c_land.csv,schema-land.csv,嘉義市土地不動產租賃
i_lvr_land_c_park.csv,schema-park.csv,嘉義市停車場不動產租賃
j_lvr_land_a.csv,schema-main.csv,新竹縣不動產買賣
j_lvr_land_a_build.csv,schema-build.csv,新竹縣建物不動產買賣
j_lvr_land_a_land.csv,schema-land.csv,新竹縣土地不動產買賣
j_lvr_land_a_park.csv,schema-park.csv,新竹縣停車場不動產買賣
j_lvr_land_b.csv,schema-main.csv,新竹縣預售屋買賣
j_lvr_land_b_land.csv,schema-land.csv,新竹縣土地預售屋買賣
j_lvr_land_b_park.csv,schema-park.csv,新竹縣停車場預售屋買賣
j_lvr_land_c.csv,schema-main-rent.csv,新竹縣不動產租賃
j_lvr_land_c_build.csv,schema-build.csv,新竹縣建物不動產租賃
j_lvr_land_c_land.csv,schema-land.csv,新竹縣土地不動產租賃
j_lvr_land_c_park.csv,schema-park.csv,新竹縣停車場不動產租賃
k_lvr_land_a.csv,schema-main.csv,苗栗縣不動產買賣
k_lvr_land_a_build.csv,schema-build.csv,苗栗縣建物不動產買賣
k_lvr_land_a_land.csv,schema-land.csv,苗栗縣土地不動產買賣
k_lvr_land_a_park.csv,schema-park.csv,苗栗縣停車場不動產買賣
k_lvr_land_c.csv,schema-main-rent.csv,苗栗縣不動產租賃
k_lvr_land_c_build.csv,schema-build.csv,苗栗縣建物不動產租賃
k_lvr_land_c_land.csv,schema-land.csv,苗栗縣土地不動產租賃
k_lvr_land_c_park.csv,schema-park.csv,苗栗縣停車場不動產租賃
m_lvr_land_a.csv,schema-main.csv,南投縣不動產買賣
m_lvr_land_a_build.csv,schema-build.csv,南投縣建物不動產買賣
m_lvr_land_a_land.csv,schema-land.csv,南投縣土地不動產買賣
m_lvr_land_a_park.csv,schema-park.csv,南投縣停車場不動產買賣
m_lvr_land_c.csv,schema-main-rent.csv,南投縣不動產租賃
m_lvr_land_c_build.csv,schema-build.csv,南投縣建物不動產租賃
m_lvr_land_c_land.csv,schema-land.csv,南投縣土地不動產租賃
n_lvr_land_a.csv,schema-main.csv,彰化縣不動產買賣
n_lvr_land_a_build.csv,schema-build.csv,彰化縣建物不動產買賣
n_lvr_land_a_land.csv,schema-land.csv,彰化縣土地不動產買賣
n_lvr_land_a_park.csv,schema-park.csv,彰化縣停車場不動產買賣
n_lvr_land_c.csv,schema-main-rent.csv,彰化縣不動產租賃
n_lvr_land_c_build.csv,schema-build.csv,彰化縣建物不動產租賃
n_lvr_land_c_land.csv,schema-land.csv,彰化縣土地不動產租賃
n_lvr_land_c_park.csv,schema-park.csv,彰化縣停車場不動產租賃
o_lvr_land_a.csv,schema-main.csv,新竹市不動產買賣
o_lvr_land_a_build.csv,schema-build.csv,新竹市建物不動產買賣
o_lvr_land_a_land.csv,schema-land.csv,新竹市土地不動產買賣
o_lvr_land_a_park.csv,schema-park.csv,新竹市停車場不動產買賣
o_lvr_land_b.csv,schema-main.csv,新竹市預售屋買賣
o_lvr_land_b_land.csv,schema-land.csv,新竹市土地預售屋買賣
o_lvr_land_b_park.csv,schema-park.csv,新竹市停車場預售屋買賣
o_lvr_land_c.csv,schema-main-rent.csv,新竹市不動產租賃
o_lvr_land_c_build.csv,schema-build.csv,新竹市建物不動產租賃
o_lvr_land_c_land.csv,schema-land.csv,新竹市土地不動產租賃
o_lvr_land_c_park.csv,schema-park.csv,新竹市停車場不動產租賃
p_lvr_land_a.csv,schema-main.csv,雲林縣不動產買賣
p_lvr_land_a_build.csv,schema-build.csv,雲林縣建物不動產買賣
p_lvr_land_a_land.csv,schema-land.csv,雲林縣土地不動產買賣
p_lvr_land_a_park.csv,schema-park.csv,雲林縣停車場不動產買賣
p_lvr_land_c.csv,schema-main-rent.csv,雲林縣不動產租賃
p_lvr_land_c_build.csv,schema-build.csv,雲林縣建物不動產租賃
p_lvr_land_c_land.csv,schema-land.csv,雲林縣土地不動產租賃
q_lvr_land_a.csv,schema-main.csv,嘉義縣不動產買賣
q_lvr_land_a_build.csv,schema-build.csv,嘉義縣建物不動產買賣
q_lvr_land_a_land.csv,schema-land.csv,嘉義縣土地不動產買賣
q_lvr_land_a_park.csv,schema-park.csv,嘉義縣停車場不動產買賣
q_lvr_land_c.csv,schema-main-rent.csv,嘉義縣不動產租賃
q_lvr_land_c_build.csv,schema-build.csv,嘉義縣建物不動產租賃
q_lvr_land_c_land.csv,schema-land.csv,嘉義縣土地不動產租賃
q_lvr_land_c_park.csv,schema-park.csv,嘉義縣停車場不動產租賃
t_lvr_land_a.csv,schema-main.csv,屏東縣不動產買賣
t_lvr_land_a_build.csv,schema-build.csv,屏東縣建物不動產買賣
t_lvr_land_a_land.csv,schema-land.csv,屏東縣土地不動產買賣
t_lvr_land_a_park.csv,schema-park.csv,屏東縣停車場不動產買賣
t_lvr_land_c.csv,schema-main-rent.csv,屏東縣不動產租賃
t_lvr_land_c_build.csv,schema-build.csv,屏東縣建物不動產租賃
t_lvr_land_c_land.csv,schema-land.csv,屏東縣土地不動產租賃
t_lvr_land_c_park.csv,schema-park.csv,屏東縣停車場不動產租賃
u_lvr_land_a.csv,schema-main.csv,花蓮縣不動產買賣
u_lvr_land_a_build.csv,schema-build.csv,花蓮縣建物不動產買賣
u_lvr_land_a_land.csv,schema-land.csv,花蓮縣土地不動產買賣
u_lvr_land_a_park.csv,schema-park.csv,花蓮縣停車場不動產買賣
u_lvr_land_c.csv,schema-main-rent.csv,花蓮縣不動產租賃
u_lvr_land_c_build.csv,schema-build.csv,花蓮縣建物不動產租賃
u_lvr_land_c_land.csv,schema-land.csv,花蓮縣土地不動產租賃
u_lvr_land_c_park.csv,schema-park.csv,花蓮縣停車場不動產租賃
v_lvr_land_a.csv,schema-main.csv,臺東縣不動產買賣
v_lvr_land_a_build.csv,schema-build.csv,臺東縣建物不動產買賣
v_lvr_land_a_land.csv,schema-land.csv,臺東縣土地不動產買賣
v_lvr_land_c.csv,schema-main-rent.csv,臺東縣不動產租賃
v_lvr_land_c_build.csv,schema-build.csv,臺東縣建物不動產租賃
v_lvr_land_c_land.csv,schema-land.csv,臺東縣土地不動產租賃
w_lvr_land_a.csv,schema-main.csv,金門縣不動產買賣
w_lvr_land_a_build.csv,schema-build.csv,金門縣建物不動產買賣
w_lvr_land_a_land.csv,schema-land.csv,金門縣土地不動產買賣
w_lvr_land_a_park.csv,schema-park.csv,金門縣停車場不動產買賣
x_lvr_land_a.csv,schema-main.csv,澎湖縣不動產買賣
x_lvr_land_a_build.csv,schema-build.csv,澎湖縣建物不動產買賣
x_lvr_land_a_land.csv,schema-land.csv,澎湖縣土地不動產買賣
x_lvr_land_a_park.csv,schema-park.csv,澎湖縣停車場不動產買賣
x_lvr_land_c.csv,schema-main-rent.csv,澎湖縣不動產租賃
x_lvr_land_c_land.csv,schema-land.csv,澎湖縣土地不動產租賃
z_lvr_land_a.csv,schema-main.csv,連江縣不動產買賣
z_lvr_land_a_land.csv,schema-land.csv,連江縣土地不動產買賣
